gene module_id
C21orf58 MH_21
Mcm3ap MH_17
Lss MH_04
C21orf56 MH_24
Slc19a1 MH_28
Pofut2 MH_28
Itgb2 MH_30
Pttg1ip MH_22
Sumo3 MH_04
Krtap12-2 MH_21
Tspear MH_21
Krtap10-3 MH_24
C21orf2 MH_10
Dnmt3l MH_23
Icoslg MH_08
Lsm7 MH_02
Cstb MH_03
Or10t2 grey
Ilvbl MH_02
Slc1a6 MH_23
Or7a5 MH_20
Or7a17 MH_27
Madcam1 grey
C19orf20 MH_04
Cdc34 MH_04
Gzmm MH_18
Bsg MH_04
Hcn2 MH_20
Fgf22 MH_24
Fstl3 MH_26
Palm MH_07
C19orf21 MH_26
Prtn3 MH_24
Elane grey
Cfd MH_20
Kiss1r grey
Arid3a MH_22
Wdr18 MH_03
Grin3b grey
Cnn2 MH_03
Abca7 MH_27
Hmha1 MH_14
Gpx4 MH_02
Stk11 MH_27
Atp5d MH_03
Midn MH_30
Cirbp MH_27
C19orf24 MH_02
Efna2 MH_24
Mum1 MH_02
Ndufs7 MH_03
Dazap1 MH_21
Apc2 MH_22
Reep6 MH_10
Plk5 MH_22
Mex3d MH_12
Onecut3 MH_29
Csnk1g2 MH_14
Mob3a MH_16
Izumo4 MH_14
Dot1l MH_28
Sf3a2 MH_14
Amh MH_24
Oaz1 MH_02
Sppl2b grey
Tmprss9 MH_23
Gadd45b MH_29
Thop1 MH_01
Map2k2 MH_06
Zbtb7a MH_26
Eef2 MH_27
Snord37 MH_24
Dapk3 MH_03
Zfr2 MH_21
Matk MH_14
Pip5k1c MH_14
C19orf29 MH_01
Tbxa2r MH_14
C19orf28 MH_21
C19orf77 MH_03
Celf5 MH_22
Aes MH_03
Tle2 MH_14
Ankrd24 grey
Znf878 MH_23
Hcfc2 MH_25
Txnrd1 MH_27
Eid3 MH_26
Chst11 MH_06
C12orf45 MH_22
Kiaa1033 MH_13
C12orf75 MH_01
Tcp11l2 MH_14
Polr3b MH_15
Rfx4 MH_28
Ric8b MH_02
