"gene.name"	"DE"	"in.module"	"Coarse.module"	"Fine.module"
"324"	"1700037c18rik"	FALSE	FALSE	NA	NA
"325"	"1700037f24rik"	FALSE	FALSE	NA	NA
"326"	"1700037h04rik"	FALSE	FALSE	NA	NA
"327"	"1700039e15rik"	FALSE	FALSE	NA	NA
"328"	"1700039e22rik"	FALSE	FALSE	NA	NA
"329"	"1700039m10rik"	FALSE	FALSE	NA	NA
"330"	"1700040d17rik"	FALSE	FALSE	NA	NA
"331"	"1700040f17rik"	FALSE	FALSE	NA	NA
"332"	"1700040l02rik"	FALSE	FALSE	81	328
"333"	"1700041c23rik"	FALSE	FALSE	NA	NA
"334"	"1700041g16rik"	FALSE	FALSE	NA	NA
"335"	"1700041m05rik"	FALSE	FALSE	NA	NA
"336"	"1700041m19rik"	FALSE	FALSE	NA	NA
"337"	"1700042b14rik"	FALSE	FALSE	NA	NA
"338"	"1700042g07rik"	FALSE	FALSE	NA	NA
"339"	"1700042g15rik"	FALSE	FALSE	NA	NA
"340"	"1700042o10rik"	FALSE	FALSE	NA	NA
"341"	"1700044c05rik"	FALSE	FALSE	NA	NA
"342"	"1700044k03rik"	FALSE	FALSE	NA	NA
"343"	"1700045h11rik"	FALSE	FALSE	NA	NA
"344"	"1700046c09rik"	FALSE	FALSE	NA	NA
"345"	"1700047a11rik"	FALSE	FALSE	NA	NA
"346"	"1700047f07rik"	FALSE	FALSE	NA	NA
"347"	"1700047g03rik"	FALSE	FALSE	NA	NA
"348"	"1700047i17rik2"	FALSE	FALSE	NA	NA
"349"	"1700047k16rik"	FALSE	FALSE	NA	NA
"350"	"1700047l14rik"	FALSE	FALSE	NA	NA
"351"	"1700047m11rik"	FALSE	FALSE	NA	NA
"352"	"1700048m11rik"	FALSE	FALSE	NA	NA
"353"	"1700048o20rik"	FALSE	FALSE	33	175
"354"	"1700049e15rik"	FALSE	FALSE	NA	NA
"355"	"1700049e17rik1"	FALSE	FALSE	NA	NA
"356"	"1700049e17rik2"	FALSE	FALSE	NA	NA
"357"	"1700049e22rik"	FALSE	FALSE	NA	NA
"358"	"1700049g17rik"	FALSE	FALSE	NA	NA
"359"	"1700049j03rik"	FALSE	FALSE	NA	NA
"360"	"1700049l16rik"	FALSE	FALSE	NA	NA
"361"	"1700051a21rik"	FALSE	FALSE	NA	NA
"362"	"1700052i22rik"	FALSE	FALSE	NA	NA
"363"	"1700052k11rik"	FALSE	FALSE	NA	NA
"364"	"1700052n19rik"	FALSE	FALSE	2	12
"365"	"1700054a03rik"	FALSE	FALSE	NA	NA
"366"	"1700054k19rik"	FALSE	FALSE	NA	NA
"367"	"1700054m17rik"	FALSE	FALSE	NA	NA
"368"	"1700055c04rik"	FALSE	FALSE	NA	NA
"369"	"1700055d18rik"	FALSE	FALSE	NA	NA
"370"	"1700055n04rik"	FALSE	FALSE	NA	NA
"371"	"1700056e22rik"	TRUE	FALSE	NA	NA
"372"	"1700056n10rik"	FALSE	FALSE	NA	NA
"373"	"1700057g04rik"	FALSE	FALSE	NA	NA
"374"	"1700057h15rik"	FALSE	FALSE	NA	NA
"375"	"1700057h21rik"	FALSE	FALSE	NA	NA
"376"	"1700058p15rik"	FALSE	FALSE	NA	NA
"377"	"1700060c16rik"	FALSE	FALSE	NA	NA
"378"	"1700060c20rik"	FALSE	FALSE	NA	NA
"379"	"1700060j05rik"	FALSE	FALSE	NA	NA
"380"	"1700060o08rik"	FALSE	FALSE	NA	NA
